year,boro,incident_count
2023,STATEN ISLAND,3
2023,QUEENS,27
2023,MANHATTAN,39
2023,BROOKLYN,65
2023,BRONX,48
2022,STATEN ISLAND,28
2022,QUEENS,198
2022,MANHATTAN,211
2022,BROOKLYN,449
2022,BRONX,407
2021,STATEN ISLAND,37
2021,QUEENS,236
2021,MANHATTAN,262
2021,BROOKLYN,519
2021,BRONX,508
2020,STATEN ISLAND,41
2020,QUEENS,238
2020,MANHATTAN,211
2020,BROOKLYN,652
2020,BRONX,389
2019,STATEN ISLAND,24
2019,QUEENS,125
2019,MANHATTAN,120
2019,BROOKLYN,290
2019,BRONX,218
2018,STATEN ISLAND,20
2018,QUEENS,110
2018,MANHATTAN,86
2018,BROOKLYN,311
2018,BRONX,227
2017,STATEN ISLAND,41
2017,QUEENS,122
2017,MANHATTAN,101
2017,BROOKLYN,294
2017,BRONX,231
2016,STATEN ISLAND,36
2016,QUEENS,157
2016,MANHATTAN,142
2016,BROOKLYN,415
2016,BRONX,247
2015,STATEN ISLAND,42
2015,QUEENS,166
2015,MANHATTAN,137
2015,BROOKLYN,473
2015,BRONX,319
2014,STATEN ISLAND,38
2014,QUEENS,161
2014,MANHATTAN,107
2014,BROOKLYN,519
2014,BRONX,346
2013,STATEN ISLAND,43
2013,QUEENS,162
2013,MANHATTAN,115
2013,BROOKLYN,480
2013,BRONX,302
2012,STATEN ISLAND,41
2012,QUEENS,236
2012,MANHATTAN,151
2012,BROOKLYN,543
2012,BRONX,402
2011,STATEN ISLAND,36
2011,QUEENS,214
2011,MANHATTAN,176
2011,BROOKLYN,652
2011,BRONX,431
2010,STATEN ISLAND,27
2010,QUEENS,200
2010,MANHATTAN,198
2010,BROOKLYN,639
2010,BRONX,409
2009,STATEN ISLAND,41
2009,QUEENS,217
2009,MANHATTAN,146
2009,BROOKLYN,612
2009,BRONX,404
2008,STATEN ISLAND,50
2008,QUEENS,252
2008,MANHATTAN,187
2008,BROOKLYN,625
2008,BRONX,406
2007,STATEN ISLAND,39
2007,QUEENS,195
2007,MANHATTAN,177
2007,BROOKLYN,658
2007,BRONX,373
2006,STATEN ISLAND,35
2006,QUEENS,240
2006,MANHATTAN,220
2006,BROOKLYN,673
2006,BRONX,398
